5	2	17
1	3	75
2	4	13
4	4	71
4	4	54
1	5	4
4	6	6
3	8	70
4	8	33
5	8	61
3	9	73
4	9	75
1	11	28
4	11	95
3	12	89
3	14	4
1	15	73
2	16	59
2	18	31
4	18	2
1	19	11
3	19	79
3	20	63
4	20	28
4	20	4
5	20	56
2	21	88
2	22	64
4	22	41
4	24	10
5	24	14
1	26	54
5	27	60
2	28	90
4	29	47
5	29	37
2	30	16
3	30	63
2	32	29
5	33	20
1	34	5
2	35	62
4	36	40
1	37	83
2	37	24
5	37	8
2	38	97
2	39	95
1	40	97
3	42	30
4	42	61
4	42	40
1	43	72
2	43	33
2	44	89
5	44	59
4	46	76
1	47	61
2	48	10
2	48	57
3	48	74
4	49	59
3	51	45
5	51	47
5	51	14
3	53	25
5	53	38
5	54	57
5	57	46
5	58	67
5	58	85
1	59	22
2	59	83
4	61	42
5	61	15
4	63	2
4	64	86
4	64	8
5	64	81
1	66	91
3	66	95
2	67	81
3	67	72
2	68	21
4	68	53
4	68	90
2	70	26
1	71	48
1	73	72
2	73	3
3	73	56
1	74	22
4	74	59
4	74	46
5	74	28
1	76	31
5	76	25
3	79	17
4	79	61
2	82	81
3	82	92
4	82	39
5	82	33
5	83	16
3	84	84
4	85	58
2	88	13
2	89	32
1	91	32
4	91	27
2	92	60
4	92	34
5	92	13
5	93	40
5	94	27
1	95	95
1	95	3
1	95	14
2	95	6
3	96	46
3	97	16
3	98	51
1	99	46
3	99	22
